epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.6269,1.37343,1.49505,1.22385,0.97496,0.98958,0.98049,0.60496,1.31095,0.65137,1.10116,0.000550835,0.000550835,0.000550835
2,92.5975,1.3489,0.84085,1.19538,0.96923,0.95392,0.97477,0.5735,1.55903,0.66334,1.23106,0.00105173,0.00105173,0.00105173
3,139.078,1.34884,0.81894,1.21069,0.97018,0.93229,0.97489,0.59687,1.34316,0.82465,1.12475,0.00149761,0.00149761,0.00149761
4,184.32,1.29959,0.79646,1.19391,0.97576,0.98707,0.9812,0.57756,1.4107,0.78673,1.20005,0.00141945,0.00141945,0.00141945
5,228.873,1.28593,0.74178,1.18073,0.97089,0.98177,0.98109,0.65374,1.24453,0.66686,1.1015,0.00133693,0.00133693,0.00133693
6,275.355,1.26722,0.74437,1.16596,0.98142,0.97867,0.98545,0.64556,1.16083,0.68697,1.06273,0.00125442,0.00125442,0.00125442
7,319.753,1.24363,0.67845,1.14405,0.98694,0.98958,0.9854,0.65402,1.22737,0.57471,1.10507,0.0011719,0.0011719,0.0011719
8,366.678,1.239,0.67547,1.14776,0.98554,0.98958,0.98889,0.65254,1.2723,0.59631,1.14604,0.00108938,0.00108938,0.00108938
9,412.243,1.24307,0.67639,1.15461,0.98595,0.98958,0.99051,0.66463,1.18984,0.62091,1.07313,0.00100687,0.00100687,0.00100687
10,458.551,1.20154,0.61833,1.12062,0.9874,0.98958,0.98977,0.69419,1.11298,0.56422,1.06917,0.000924352,0.000924352,0.000924352
11,505.447,1.2035,0.58615,1.16258,0.96848,0.99619,0.99143,0.67928,1.17054,0.56598,1.08555,0.000841835,0.000841835,0.000841835
12,548.958,1.17476,0.58426,1.1442,0.98696,0.98958,0.99082,0.68078,1.18394,0.58872,1.07243,0.000759318,0.000759318,0.000759318
13,592.889,1.16788,0.5738,1.14067,0.98704,0.98958,0.98388,0.67284,1.12849,0.58759,1.06812,0.000676802,0.000676802,0.000676802
14,636.745,1.1426,0.56852,1.11861,0.98668,0.98958,0.98888,0.6816,1.12235,0.56847,1.07649,0.000594286,0.000594286,0.000594286
15,680.924,1.14186,0.56694,1.12277,0.98127,0.98958,0.98655,0.68075,1.15913,0.53245,1.08289,0.000511769,0.000511769,0.000511769
16,725.639,1.12659,0.54616,1.1175,0.98383,0.98958,0.98789,0.67633,1.11524,0.54934,1.03875,0.000429253,0.000429253,0.000429253
17,769.429,1.10283,0.53226,1.10948,0.97968,0.98958,0.98978,0.7004,1.10338,0.56223,1.04989,0.000346736,0.000346736,0.000346736
18,815.371,1.09437,0.51778,1.0973,0.98599,0.9881,0.98972,0.68573,1.09862,0.52813,1.06585,0.00026422,0.00026422,0.00026422
19,858.623,1.07732,0.50919,1.09427,0.98363,0.98669,0.99001,0.69287,1.08119,0.54218,1.05583,0.000181703,0.000181703,0.000181703
20,901.5,1.05093,0.49892,1.07539,0.98485,0.98671,0.98981,0.70037,1.1174,0.50846,1.07445,9.91865e-05,9.91865e-05,9.91865e-05
