epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7832,1.59166,3.39112,1.24016,0.71348,0.23093,0.45612,0.31229,1.49892,3.13551,1.10211,0.000274061,0.000274061,0.000274061
2,30.9882,1.49622,1.851,1.16559,0.87661,0.36243,0.52493,0.3512,1.58239,2.69092,1.22861,0.000497106,0.000497106,0.000497106
3,43.245,1.47717,1.54739,1.15042,0.62545,0.51829,0.55248,0.3487,1.62854,1.59539,1.24337,0.000665174,0.000665174,0.000665174
4,55.4256,1.44147,1.25331,1.13641,0.75712,0.67986,0.70243,0.45733,1.50168,1.31766,1.08608,0.000585599,0.000585599,0.000585599
5,67.6883,1.38183,1.07508,1.10273,0.78429,0.74278,0.75846,0.51542,1.40716,1.05904,1.05942,0.000503132,0.000503132,0.000503132
6,80.1034,1.34239,0.96449,1.08509,0.83595,0.80457,0.83616,0.56697,1.31464,0.89943,1.02946,0.000420665,0.000420665,0.000420665
7,92.343,1.30994,0.89553,1.06368,0.79933,0.81599,0.82893,0.57774,1.30178,0.82514,1.01146,0.000338198,0.000338198,0.000338198
8,104.43,1.26838,0.82782,1.04708,0.82973,0.82805,0.86225,0.59491,1.27788,0.78308,0.99948,0.000255731,0.000255731,0.000255731
9,116.574,1.23573,0.78422,1.02663,0.87161,0.85724,0.89086,0.62238,1.24685,0.74586,0.9814,0.000173264,0.000173264,0.000173264
10,128.661,1.19509,0.73832,1.00837,0.86934,0.86057,0.89748,0.64398,1.19451,0.70433,0.96543,9.0797e-05,9.0797e-05,9.0797e-05
