epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5561,1.52737,2.68912,1.24423,0.67089,0.73149,0.73716,0.47036,1.42888,1.12848,1.13915,0.000275778,0.000275778,0.000275778
2,36.8584,1.44468,1.04838,1.14625,0.6163,0.72085,0.70974,0.4309,1.47039,1.29663,1.10285,0.000498653,0.000498653,0.000498653
3,51.9716,1.44883,0.97403,1.15166,0.6678,0.78958,0.7992,0.50866,1.4114,1.03437,1.08828,0.000666551,0.000666551,0.000666551
4,67.0973,1.3966,0.8903,1.13029,0.71789,0.75826,0.76153,0.47935,1.48983,0.97207,1.11962,0.000585599,0.000585599,0.000585599
5,82.073,1.36874,0.84766,1.11387,0.75849,0.8313,0.84744,0.56236,1.3124,0.8389,1.08775,0.000503132,0.000503132,0.000503132
6,96.931,1.32536,0.78709,1.09313,0.80042,0.84647,0.86001,0.57927,1.33188,0.75937,1.06061,0.000420665,0.000420665,0.000420665
7,111.798,1.29049,0.74892,1.07642,0.79927,0.8562,0.85792,0.59474,1.24121,0.7492,1.03467,0.000338198,0.000338198,0.000338198
8,126.745,1.24678,0.70194,1.05141,0.81674,0.88677,0.88364,0.61703,1.16839,0.68717,0.99289,0.000255731,0.000255731,0.000255731
9,141.631,1.20777,0.6713,1.03287,0.8325,0.89151,0.89301,0.63135,1.15646,0.66555,0.992,0.000173264,0.000173264,0.000173264
10,156.416,1.16954,0.63646,1.01226,0.85401,0.89036,0.90167,0.6471,1.13597,0.6386,0.98438,9.0797e-05,9.0797e-05,9.0797e-05
