epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4421,1.68938,4.29723,1.24114,0.00093,0.16074,0.06217,0.04451,1.46281,4.09589,0.96563,0.00015827,0.00015827,0.00015827
2,18.6553,1.57362,2.5099,1.06744,0.0014,0.20226,0.12936,0.09888,1.52256,3.76883,0.95459,0.000292708,0.000292708,0.000292708
3,24.9916,1.4724,1.53151,1.02643,0.00348,0.33527,0.17897,0.1198,1.52837,3.64742,0.96499,0.000394159,0.000394159,0.000394159
4,31.1663,1.43376,1.28115,1.01748,0.00485,0.47655,0.36439,0.24813,1.49866,3.20813,0.94259,0.000462623,0.000462623,0.000462623
5,37.6581,1.38872,1.17056,1.00567,0.96975,0.15728,0.50259,0.33528,1.54725,2.42458,0.97399,0.000498101,0.000498101,0.000498101
6,43.875,1.3531,1.08516,0.98987,0.90063,0.36149,0.62528,0.40803,1.49976,1.93179,0.94553,0.000420665,0.000420665,0.000420665
7,49.9929,1.31473,1.01504,0.97401,0.84411,0.58386,0.6892,0.46049,1.47554,1.38822,0.92739,0.000338198,0.000338198,0.000338198
8,56.4101,1.2898,0.9652,0.96057,0.74644,0.67518,0.7088,0.47811,1.37218,1.06542,0.90511,0.000255731,0.000255731,0.000255731
9,62.6098,1.26686,0.91808,0.95545,0.79127,0.71014,0.73686,0.49951,1.32148,0.83509,0.89599,0.000173264,0.000173264,0.000173264
10,68.8009,1.228,0.88225,0.93971,0.80885,0.73173,0.7519,0.52394,1.27864,0.77641,0.88479,9.0797e-05,9.0797e-05,9.0797e-05
