epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0572,1.48854,2.09693,1.18822,0.68571,0.7739,0.78641,0.48263,1.44463,1.07188,1.11136,0.000276351,0.000276351,0.000276351
2,37.1605,1.43837,1.02855,1.14323,0.73343,0.72873,0.78224,0.50112,1.38627,0.97577,1.09764,0.000532078,0.000532078,0.000532078
3,55.2491,1.44913,0.97296,1.1477,0.63099,0.80777,0.80767,0.53569,1.34627,1.23737,1.0987,0.000765815,0.000765815,0.000765815
4,72.8547,1.39958,0.93442,1.1302,0.72203,0.77527,0.79479,0.52657,1.34476,0.89178,1.0934,0.00073404,0.00073404,0.00073404
5,89.7722,1.37074,0.86866,1.11459,0.77405,0.81725,0.83005,0.54423,1.31231,0.79214,1.06675,0.000701053,0.000701053,0.000701053
6,106.806,1.36219,0.83838,1.10212,0.81596,0.81849,0.83831,0.57035,1.28376,0.76521,1.05271,0.000668066,0.000668066,0.000668066
7,124.249,1.34547,0.80295,1.08586,0.79153,0.81695,0.83351,0.56827,1.2343,0.74544,1.03715,0.000635079,0.000635079,0.000635079
8,141.891,1.3108,0.81547,1.08336,0.79252,0.8615,0.86593,0.59888,1.22933,0.77835,1.0374,0.000602092,0.000602092,0.000602092
9,159.278,1.28793,0.77087,1.07288,0.83382,0.85365,0.87663,0.58837,1.20166,0.73413,1.0191,0.000569106,0.000569106,0.000569106
10,176.466,1.26438,0.75166,1.05938,0.84284,0.85874,0.8666,0.59296,1.21723,0.71336,1.01814,0.000536119,0.000536119,0.000536119
11,194.833,1.26467,0.74628,1.04794,0.8454,0.87164,0.88663,0.62642,1.16752,0.66597,1.00985,0.000503132,0.000503132,0.000503132
12,211.822,1.23938,0.72144,1.04083,0.82792,0.87465,0.87955,0.62571,1.16053,0.66506,1.01468,0.000470145,0.000470145,0.000470145
13,229.378,1.21808,0.71388,1.0343,0.85221,0.87107,0.88884,0.63671,1.15649,0.65343,0.99761,0.000437158,0.000437158,0.000437158
14,246.427,1.20791,0.69415,1.03139,0.85541,0.88626,0.89541,0.63121,1.16971,0.65039,1.00404,0.000404172,0.000404172,0.000404172
15,264.718,1.20459,0.69149,1.02719,0.84257,0.89796,0.8987,0.64175,1.14287,0.63786,1.0047,0.000371185,0.000371185,0.000371185
16,292.797,1.20185,0.66151,1.05228,0.83814,0.89312,0.88751,0.62857,1.14176,0.64626,1.0083,0.000338198,0.000338198,0.000338198
17,309.905,1.17735,0.64281,1.04101,0.85564,0.87081,0.88956,0.63054,1.1485,0.62675,1.00539,0.000305211,0.000305211,0.000305211
18,326.588,1.17637,0.63421,1.03837,0.86467,0.87856,0.88489,0.64216,1.11136,0.59813,0.98199,0.000272224,0.000272224,0.000272224
19,343.49,1.1608,0.62368,1.02492,0.85612,0.88714,0.91876,0.65368,1.13682,0.6133,0.98673,0.000239238,0.000239238,0.000239238
20,360.724,1.1371,0.61278,1.01687,0.86723,0.89488,0.92353,0.67119,1.09302,0.61367,0.98049,0.000206251,0.000206251,0.000206251
21,378.035,1.11922,0.60225,1.0163,0.85304,0.90261,0.9116,0.66086,1.0774,0.59416,0.97453,0.000173264,0.000173264,0.000173264
22,394.812,1.1019,0.5836,1.00676,0.85559,0.90277,0.9101,0.66798,1.08552,0.57642,0.97727,0.000140277,0.000140277,0.000140277
23,412.079,1.094,0.57219,0.99815,0.87717,0.91224,0.92592,0.67913,1.07627,0.56114,0.96555,0.00010729,0.00010729,0.00010729
24,428.666,1.07318,0.56822,0.98783,0.88352,0.90501,0.92407,0.67754,1.06429,0.56521,0.96209,7.43036e-05,7.43036e-05,7.43036e-05
25,445.066,1.06304,0.55719,0.98619,0.88394,0.9126,0.9234,0.68482,1.05366,0.55445,0.95792,4.13168e-05,4.13168e-05,4.13168e-05
